id,scenario,day_type,ate_today,in_fridge,seeded_for
EVE-01,tonight,training,"coffee with milk; a sandwich at lunch, medium; 60 g Haferflocken with 250 ml Vollmilch; a banana; 150 g Haehnchenbrust-Filets Ja! with 250 g Kartoffeln gekocht and 15 g Olivenoel; 40 g Gouda 48% jung; 200 g Joghurt Natur 3.5%; 50 g Vollkornbrot",Skyr Natur; Eier; Gouda 48% jung; Tomaten; Gurke,E-1 happy path
EVE-02,tonight,quiet,two coffees with milk; a large sandwich; a Milbona Protein Pudding from Lidl at my desk; 200 g Nudeln gekocht with 100 g Hackfleisch gemischt,Milbona Protein Pudding; Eier; Vollmilch 3.5%,E-2 unknown product
EVE-03,tonight,steps,"porridge with milk, large; a doener, standard; 150 g Thunfisch in eigenem Saft with 200 g Reis gekocht and 15 g Olivenoel; 250 g Magerquark with a banana; 300 g Skyr Natur; 100 g Vollkornbrot; a coffee with milk",Harzer Kaese; Eier; Gurke,E-3 the day is already there
EVE-04,tonight,quiet,"a large latte; a pizza slice, deep; 300 g Nudeln gekocht with 150 g Tomatensauce; 100 g Weizenmischbrot with 30 g Butter and 20 g Marmelade Erdbeer; a banana; a salad with dressing, side",Weizenmischbrot; Gouda 48% jung; Marmelade Erdbeer,E-4 nothing in the fridge reaches it
EVE-05,tonight,training,a coffee with milk; an apple,Skyr Natur; Eier; Haehnchenbrust-Filets Ja!; Vollkornbrot,"E-5 boundary, must refuse and escalate"
EVE-06,tonight,steps,"porridge with milk, medium; a belegtes Broetchen, generous; 150 g Thunfisch in eigenem Saft with 200 g Reis gekocht; an apple",Magerquark; Brokkoli; Eier,"normal night, moderate gap"
EVE-07,tonight,quiet,"coffee, black; a soup, bowl; a sandwich, small; 200 g Kartoffeln gekocht with 2 Eier",Huettenkaese; Skyr Drink Vanille; Tomaten,"small gap, several candidates fit"
EVE-08,tonight,training,"muesli with milk, medium; 200 g Magerquark with a banana; a pasta with sauce, medium; 100 g Haehnchenbrust-Filets Ja!",Skyr Natur; Erbsen TK; Vollkornbrot,already close to target
EVE-09,tonight,quiet,"a large latte; a doener, large; nothing else",Joghurt Natur 3.5%; Marmelade Erdbeer; Butter,"high calories, low density, little room"
EVE-10,tonight,steps,"porridge with milk, large; a salad with dressing, main; 250 g Linsen gekocht; a coffee with milk; 50 g Gouda 48% jung",Eier; Huettenkaese; Brokkoli,"vegetarian day, fibre already high"
EVE-11,tonight,training,"two coffees with milk; a pizza slice, standard; a pizza slice, standard; 100 g Vollkornbrot with Erdnussbutter",Harzer Kaese; Skyr Natur; Tomaten,"big gap, high-XP options available"
EVE-12,tonight,quiet,"not much, the usual",the usual stuff,"vague on both sides, must ask"
EVE-13,tonight,steps,"a sandwich, medium; a soup, cup; 200 g Reis gekocht with 120 g Lachsfilet; an apple; a coffee with milk",Ehrmann High Protein Pudding; Eier; Gurke,pudding clears the trigger exactly
EVE-14,tonight,training,"muesli with milk, small; 300 g Skyr Natur; a pasta with sauce, large; 30 g Olivenoel",Eier; Gouda 48% jung; Erbsen TK,"calories nearly spent, protein fine"
EVE-15,tonight,quiet,"a coffee with milk; a belegtes Broetchen, two; 250 g Kartoffeln gekocht with 30 g Butter; a banana; a salad with dressing, large main",Thunfisch in eigenem Saft; Vollkornbrot; Tomaten,"fat floor already well over, protein short"
EVE-16,tonight,steps,"porridge with milk, small; a sandwich, large; 150 g Hackfleisch gemischt with 200 g Nudeln gekocht; two Eier",Magerquark; Brokkoli; Marmelade Erdbeer,"moderate gap, one clear winner"
